dizi_url,review_url
https://www.imdb.com/title/tt0203259/,https://www.imdb.com/title/tt0203259/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt2085059/,https://www.imdb.com/title/tt2085059/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0397306/,https://www.imdb.com/title/tt0397306/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0348914/,https://www.imdb.com/title/tt0348914/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0165598/,https://www.imdb.com/title/tt0165598/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0804503/,https://www.imdb.com/title/tt0804503/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0053502/,https://www.imdb.com/title/tt0053502/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt1844624/,https://www.imdb.com/title/tt1844624/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0096542/,https://www.imdb.com/title/tt0096542/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt8550800/,https://www.imdb.com/title/tt8550800/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0813715/,https://www.imdb.com/title/tt0813715/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt2071645/,https://www.imdb.com/title/tt2071645/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0149460/,https://www.imdb.com/title/tt0149460/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt5687612/,https://www.imdb.com/title/tt5687612/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt2628232/,https://www.imdb.com/title/tt2628232/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt2364582/,https://www.imdb.com/title/tt2364582/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt1442449/,https://www.imdb.com/title/tt1442449/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0460681/,https://www.imdb.com/title/tt0460681/reviews/?ref_=tt_urv_sm
